CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
2,16-01-0040,"ACCESSORY BEFORE THE FACT TO A FELONY, GENERAL PROVISION (VIOLENT IF VIOLENT FELONY)",F,U,Active,"NMT 1 YEAR &/OR NMT $5,000",365,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3,44-41-0080(a),ABORTION / PERFORMING OR SOLICITING UNLAWFUL ABORTION,F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,16-09-0420,ESCAPE / AIDING ESCAPE FROM CUSTODY OF OFFICERS,M,B,Active,NMT 2 YEARS OR NMT $500,730,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5,16-15-0060,SEX / ADULTERY OR FORNICATION,M,C,Active,NMT 1 YEAR &/OR $100 - $500,365,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,16-03-0610,WEAPONS / ASSAULT WITH CONCEALED WEAPON,M,C,Active,3 MONTHS - 12 MONTHS &/OR NLT $200,365,0,AND/OR,600,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,25-01-2180,ASSAULT / ASSAULT UPON MILITARY PERSONNEL,M,B,Active,NMT 2 YEARS,730,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,55-01-0030(3),AIRPORT / REMOVING OR DAMAGING OF AIRPORT FACILITY OR EQUIPMENT WHEN DEATH RESULTS,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
15,16-17-0550,"BRIBES / BRIBERY OF ATHLETES AND ATHLETIC OFFICIALS, ACCEPTANCE OF BRIBES",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
17,16-03-0920,KIDNAPPING / CONSPIRACY TO COMMIT KIDNAPPING,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
20,16-14-0070,FINANTC / CRIMINAL POSSESSION OF FINANCIAL TRANSACTION CARD FORGERY DEVICE,F,F,Active,"NMT 5 YEARS &/OR $3,000-5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
